POS,Nombre,Team,POS,GP,REC,TGTS,YDS,TD,LNG,BIG,FUM,LST,YAC,FD
1,Michael Thomas ,NO,WR,16,149,185,"1,725",9,49,17,1,0,582,91
2,Julio Jones ,ATL,WR,15,99,157,"1,394",6,54,21,1,0,360,77
3,Chris Godwin ,TB,WR,14,86,121,"1,333",9,71,25,0,0,591,63
4,Travis Kelce ,KC,TE,16,97,136,"1,229",5,47,13,1,1,430,65
5,DeVante Parker ,MIA,WR,16,72,128,"1,202",9,51,21,0,0,291,58
6,Keenan Allen ,LAC,WR,16,104,149,"1,199",6,45,15,0,0,368,63
7,Kenny Golladay ,DET,WR,16,65,116,"1,190",11,75,22,1,1,301,52
8,Amari Cooper ,DAL,WR,16,79,119,"1,189",8,53,17,0,0,245,54
9,DJ Moore ,CAR,WR,15,87,135,"1,175",4,52,13,2,1,403,63
10,Jarvis Landry ,CLE,WR,16,83,138,"1,174",6,65,20,0,0,440,55
11,DeAndre Hopkins ,HOU,WR,15,104,150,"1,165",7,43,16,0,0,393,68
12,Cooper Kupp ,LAR,WR,16,94,134,"1,161",10,66,21,3,0,547,51
13,Mike Evans ,TB,WR,13,67,118,"1,157",8,67,17,0,0,276,54
14,Allen Robinson II,CHI,WR,16,98,154,"1,147",7,49,15,0,0,279,63
15,Darren Waller ,OAK,TE,16,90,117,"1,145",3,75,14,1,1,601,53
16,Robert Woods ,LAR,WR,15,90,139,"1,134",2,48,14,0,0,584,54
17,Stefon Diggs ,MIN,WR,15,63,94,"1,130",6,66,20,4,3,308,41
18,Julian Edelman ,NE,WR,16,100,153,"1,117",6,44,13,3,1,337,54
19,Courtland Sutton ,DEN,WR,16,72,124,"1,112",6,70,18,2,0,363,50
20,Michael Gallup ,DAL,WR,14,66,113,"1,107",6,62,18,0,0,343,50
21,John Brown ,BUF,WR,15,72,115,"1,060",6,53,17,0,0,217,53
22,Tyler Lockett ,SEA,WR,16,82,110,"1,057",8,44,15,1,0,314,53
23,George Kittle ,SF,TE,14,85,107,"1,053",5,61,16,1,0,622,53
24,A.J. Brown ,TEN,WR,16,52,84,"1,051",8,91,15,1,0,463,39
25,Tyler Boyd ,CIN,WR,16,90,148,"1,046",5,47,12,2,2,358,51
26,Odell Beckham Jr.,CLE,WR,16,74,133,"1,035",4,89,16,0,0,331,44
27,DJ Chark Jr.,JAX,WR,15,73,118,"1,008",8,69,17,0,0,316,42
28,Christian McCaffrey ,CAR,RB,16,116,142,"1,005",4,28,7,0,0,"1,010",58
29,Mike Williams ,LAC,WR,15,49,90,"1,001",2,56,17,0,0,219,41
30,Davante Adams ,GB,WR,12,83,127,997,5,58,12,2,1,393,54
31,Austin Ekeler ,LAC,RB,16,92,108,993,8,84,9,2,1,944,42
32,Terry McLaurin ,WSH,WR,14,58,93,919,7,75,15,0,0,220,43
33,Zach Ertz ,PHI,TE,15,88,135,916,6,30,12,1,1,276,50
34,DK Metcalf ,SEA,WR,16,58,100,900,7,54,13,3,3,278,39
35,Emmanuel Sanders ,SF/DEN,WR,17,66,97,869,5,75,11,0,0,244,41
36,Calvin Ridley ,ATL,WR,13,63,93,866,7,36,12,0,0,139,47
37,Tyreek Hill ,KC,WR,12,58,89,860,7,57,11,0,0,276,39
38,Mark Andrews ,BAL,TE,15,64,98,852,10,51,16,2,1,302,44
39,Jamison Crowder ,NYJ,WR,16,78,122,833,6,41,11,0,0,357,41
40,Randall Cobb ,DAL,WR,15,55,83,828,3,59,15,2,1,343,41
41,Larry Fitzgerald ,ARI,WR,16,75,109,804,4,54,10,1,1,358,40
