POS,Nombre,Team,POS,GP,REC,TGTS,YDS,TD,LNG,BIG,FUM,LST,YAC,FD,Season
1,Stefon Diggs,BUF,WR,16,127,166,"1,535",8,55,20,0,0,468,73,2020
2,Travis Kelce,KC,TE,15,105,145,"1,416",11,45,23,1,1,597,79,2020
3,DeAndre Hopkins,ARI,WR,16,115,160,"1,407",6,60,17,3,2,527,75,2020
4,Justin Jefferson,MIN,WR,16,88,125,"1,400",7,71,23,1,0,450,58,2020
5,Davante Adams,GB,WR,14,115,149,"1,374",18,56,18,1,1,592,73,2020
5,Calvin Ridley,ATL,WR,15,90,143,"1,374",9,63,23,1,1,369,65,2020
7,DK Metcalf,SEA,WR,16,83,129,"1,303",10,62,17,1,1,384,63,2020
8,Tyreek Hill,KC,WR,15,87,135,"1,276",15,75,20,0,0,430,57,2020
9,Allen Robinson II,CHI,WR,16,102,151,"1,250",6,42,22,0,0,339,68,2020
10,Darren Waller,LV,TE,16,107,145,"1,196",9,38,16,2,2,583,69,2020
11,DJ Moore,CAR,WR,15,66,118,"1,193",4,74,19,0,0,390,53,2020
12,Brandin Cooks,HOU,WR,15,81,119,"1,150",6,57,20,0,0,348,52,2020
13,Terry McLaurin,WSH,WR,15,87,134,"1,118",4,68,17,1,1,490,51,2020
14,Amari Cooper,DAL,WR,16,92,130,"1,114",5,69,13,0,0,408,54,2020
15,Robbie Chosen,CAR,WR,16,95,136,"1,096",3,75,16,1,1,514,49,2020
16,A.J. Brown,TEN,WR,14,70,106,"1,075",11,73,13,2,1,422,55,2020
17,Tyler Lockett,SEA,WR,16,100,132,"1,054",10,47,10,1,0,339,57,2020
18,Mike Evans,TB,WR,16,70,109,"1,006",13,50,20,0,0,266,55,2020
19,Keenan Allen,LAC,WR,14,100,147,992,8,28,10,3,2,448,61,2020
20,Corey Davis,TEN,WR,14,65,92,984,5,75,14,1,1,279,49,2020
21,Marvin Jones Jr.,DET,WR,16,76,115,978,9,43,19,0,0,203,52,2020
22,Cooper Kupp,LAR,WR,15,92,124,974,3,55,12,0,0,529,45,2020
