POS,Nombre,Team,POS,GP,REC,TGTS,YDS,TD,LNG,BIG,FUM,LST,YAC,FD,Season 
1,Cooper Kupp ,LAR,WR,17,145,191,"1,947",16,59,30,0,0,846,89,2021
2,Justin Jefferson ,MIN,WR,17,108,167,"1,616",10,56,27,1,1,482,75,2021
3,Davante Adams ,GB,WR,16,123,169,"1,553",11,59,19,0,0,604,84,2021
4,Ja'Marr Chase ,CIN,WR,17,81,128,"1,455",13,82,22,2,1,651,56,2021
5,Deebo Samuel Sr.,SF,WR,16,77,121,"1,405",6,83,23,4,2,780,51,2021
6,Mark Andrews ,BAL,TE,17,107,153,"1,361",9,43,20,1,0,458,75,2021
7,Tyreek Hill ,KC,WR,17,111,159,"1,239",9,75,13,2,1,444,75,2021
8,Stefon Diggs ,BUF,WR,17,103,164,"1,225",10,61,12,1,0,326,66,2021
9,Tyler Lockett ,SEA,WR,16,73,107,"1,175",8,69,22,0,0,277,41,2021
10,Diontae Johnson ,PIT,WR,16,107,169,"1,161",8,50,14,2,2,527,59,2021
11,DJ Moore ,CAR,WR,17,93,163,"1,157",4,64,16,1,1,426,60,2021
12,Mike Williams ,LAC,WR,16,76,129,"1,146",9,72,17,0,0,415,51,2021
13,Keenan Allen ,LAC,WR,16,106,157,"1,138",6,42,12,1,0,337,66,2021
14,Travis Kelce ,KC,TE,16,92,134,"1,125",9,69,13,1,1,564,63,2021
15,CeeDee Lamb ,DAL,WR,16,79,120,"1,102",6,49,20,0,0,441,54,2021
16,Tee Higgins ,CIN,WR,14,74,110,"1,091",6,54,17,1,1,290,53,2021
17,Michael Pittman Jr.,IND,WR,17,88,129,"1,082",6,57,12,1,0,348,54,2021
18,Darnell Mooney ,CHI,WR,17,81,140,"1,055",4,64,14,0,0,381,49,2021
19,Terry McLaurin ,WSH,WR,17,77,130,"1,053",5,46,15,0,0,317,47,2021
20,Hunter Renfrow ,LV,WR,17,103,128,"1,038",9,54,10,1,1,452,51,2021
21,Brandin Cooks ,HOU,WR,16,90,134,"1,037",6,52,12,0,0,357,45,2021
22,Mike Evans ,TB,WR,16,74,114,"1,035",14,46,20,0,0,259,56,2021
23,Kyle Pitts ,ATL,TE,17,68,110,"1,026",1,61,16,0,0,313,43,2021
24,Jaylen Waddle ,MIA,WR,16,104,140,"1,015",6,57,8,1,0,439,59,2021
25,Marquise Brown ,BAL,WR,16,91,146,"1,008",6,49,15,3,1,388,41,2021
26,Christian Kirk ,ARI,WR,17,77,103,982,5,50,16,0,0,243,44,2021
27,DK Metcalf ,SEA,WR,17,75,129,967,12,84,11,1,0,328,48,2021
28,DeVonta Smith ,PHI,WR,17,64,104,916,5,46,16,1,1,220,43,2021
29,Amon-Ra St. Brown,DET,WR,17,90,119,912,5,37,11,0,0,424,48,2021
30,George Kittle ,SF,TE,14,71,94,910,6,48,13,2,1,450,42,2021
31,A.J. Brown ,TEN,WR,13,63,105,869,5,57,10,0,0,248,45,2021
32,Jakobi Meyers ,NE,WR,17,83,126,866,2,39,12,1,1,222,42,2021
33,Amari Cooper ,DAL,WR,15,68,104,865,8,41,15,1,0,235,45,2021
34,Chase Claypool ,PIT,WR,15,59,105,860,2,59,13,0,0,295,36,2021
35,A.J. Green ,ARI,WR,16,54,92,848,3,42,16,0,0,181,37,2021
36,Marvin Jones Jr.,JAX,WR,17,73,120,832,4,33,13,0,0,132,42,2021
37,Dallas Goedert ,PHI,TE,15,56,76,830,4,45,14,1,0,386,42,2021
38,Tyler Boyd ,CIN,WR,16,67,94,828,5,68,10,1,0,389,37,2021
39,Brandon Aiyuk ,SF,WR,17,56,84,826,5,43,16,1,1,349,37,2021
40,Dalton Schultz ,DAL,TE,17,78,104,808,8,32,6,0,0,348,43,2021
41,Rob Gronkowski ,TB,TE,12,55,89,802,6,42,16,0,0,350,34,2021
41,Van Jefferson ,LAR,WR,17,50,89,802,6,79,12,0,0,216,32,2021
43,Kendrick Bourne ,NE,WR,17,55,70,800,5,75,10,1,1,385,27,2021
44,Mike Gesicki ,MIA,TE,17,73,112,780,2,40,12,0,0,221,39,2021
45,Courtland Sutton ,DEN,WR,17,58,98,776,2,55,9,0,0,135,35,2021
46,Russell Gage ,ATL,WR,14,66,94,770,4,49,8,2,2,253,37,2021
47,Zach Ertz ,ARI/PHI,TE,17,74,112,763,5,47,7,0,0,340,40,2021
48,Tim Patrick ,DEN,WR,16,53,85,734,5,44,10,0,0,202,39,2021
49,Marquez Callaway ,NO,WR,17,46,84,698,6,58,9,0,0,144,32,2021
50,Cole Beasley ,BUF,WR,16,82,112,693,1,29,5,1,0,305,34,2021
50,Mecole Hardman ,KC,WR,17,59,83,693,2,53,8,1,1,502,33,2021
52,Noah Fant ,DEN,TE,16,68,90,670,4,35,7,0,0,309,29,2021
53,Darren Waller ,LV,TE,11,55,93,665,2,33,13,0,0,242,31,2021
54,K.J. Osborn ,MIN,WR,17,50,82,655,7,64,10,0,0,179,26,2021
55,Austin Ekeler ,LAC,RB,16,70,94,647,8,40,3,4,3,627,31,2021
55,Quez Watkins ,PHI,WR,17,43,62,647,1,91,12,0,0,253,25,2021
57,Emmanuel Sanders ,BUF,WR,14,42,72,626,4,41,10,0,0,85,31,2021
58,Laviska Shenault Jr.,JAX,WR,16,63,100,619,0,58,5,1,1,389,30,2021
59,Cole Kmet ,CHI,TE,17,60,93,612,0,25,7,0,0,246,29,2021
60,Hunter Henry ,NE,TE,17,50,75,603,9,35,8,0,0,144,34,2021
61,Cedrick Wilson Jr.,DAL,WR,16,45,61,602,6,73,8,1,0,260,27,2021
62,Donovan Peoples-Jones ,CLE,WR,14,34,58,597,3,60,12,1,1,146,26,2021
63,Tyler Conklin ,MIN,TE,17,61,87,593,3,40,4,1,0,327,26,2021
64,Dawson Knox ,BUF,TE,15,49,71,587,9,53,8,0,0,277,31,2021
65,Kalif Raymond ,DET,WR,16,48,71,576,4,75,8,0,0,264,28,2021
66,Bryan Edwards ,LV,WR,17,34,59,571,3,51,11,1,0,190,26,2021
67,Jarvis Landry ,CLE,WR,12,52,87,570,2,38,7,1,1,273,29,2021
67,Deonte Harty ,NO,WR,13,36,59,570,3,72,5,0,0,241,23,2021
69,Byron Pringle ,KC,WR,17,42,60,568,5,40,11,0,0,187,32,2021
70,Jared Cook ,LAC,TE,16,48,83,564,4,42,7,0,0,238,31,2021
71,Tyler Higbee ,LAR,TE,15,61,85,560,5,37,3,1,0,281,33,2021
72,Gabe Davis ,BUF,WR,16,35,63,549,6,49,13,0,0,140,29,2021
73,Cordarrelle Patterson ,ATL,RB,16,52,69,548,5,64,8,0,0,385,26,2021
74,Zay Jones ,LV,WR,17,47,70,546,1,43,8,1,1,170,29,2021
75,Odell Beckham Jr.,LAR/CLE,WR,14,44,82,537,5,54,7,0,0,151,27,2021
76,Kenny Golladay ,NYG,WR,14,37,76,521,0,36,5,0,0,119,27,2021
77,Robbie Chosen ,CAR,WR,17,53,110,519,5,57,3,0,0,158,27,2021
78,DeVante Parker ,MIA,WR,10,40,73,515,2,42,7,0,0,104,29,2021
78,Rashod Bateman ,BAL,WR,12,46,68,515,1,36,8,0,0,171,29,2021
80,Allen Lazard ,GB,WR,15,40,60,513,8,42,8,0,0,168,28,2021
81,Pat Freiermuth ,PIT,TE,16,60,79,497,7,24,2,1,1,247,34,2021
82,C.J. Uzomah ,CIN,TE,16,49,63,493,5,55,7,0,0,300,24,2021
83,Gerald Everett ,SEA,TE,15,48,63,478,4,41,5,2,2,249,26,2021
84,Nick Westbrook-Ikhine ,TEN,WR,16,38,57,476,4,46,5,1,1,144,23,2021
85,David Njoku ,CLE,TE,16,36,53,475,4,71,8,0,0,247,17,2021
86,Nelson Agholor ,NE,WR,15,37,64,473,3,44,9,0,0,118,23,2021
87,Najee Harris ,PIT,RB,17,74,94,467,3,25,3,0,0,499,22,2021
87,Jerry Jeudy ,DEN,WR,10,38,56,467,0,40,7,1,0,185,22,2021
89,DeSean Jackson ,LV/LAR,WR,16,20,34,454,2,75,6,1,1,175,12,2021
90,Darrel Williams ,KC,RB,17,47,57,452,2,38,4,0,0,435,19,2021
90,D'Andre Swift ,DET,RB,13,62,78,452,2,63,3,2,1,502,18,2021
92,Keelan Cole Sr.,NYJ,WR,15,28,51,449,1,54,7,0,0,85,20,2021
93,Jalen Guyton ,LAC,WR,16,31,48,448,3,59,5,0,0,149,21,2021
94,Jamison Crowder ,NYJ,WR,12,51,71,447,2,29,3,1,1,174,22,2021
95,Nico Collins ,HOU,WR,14,33,60,446,1,32,8,0,0,131,22,2021
96,Alvin Kamara ,NO,RB,13,47,67,439,5,31,4,0,0,432,20,2021
97,Rondale Moore ,ARI,WR,14,54,64,435,1,77,3,1,0,438,18,2021
98,Julio Jones ,TEN,WR,10,31,48,434,1,51,4,0,0,112,19,2021
98,Laquon Treadwell ,JAX,WR,12,33,51,434,1,41,6,0,0,126,22,2021
100,Marquez Valdes-Scantling ,GB,WR,11,26,55,430,3,75,8,0,0,146,18,2021
101,Kadarius Toney ,NYG,WR,10,39,57,420,0,38,5,0,0,228,21,2021
102,Allen Robinson II,CHI,WR,12,38,66,410,1,39,5,0,0,101,22,2021
103,Evan Engram ,NYG,TE,15,46,73,408,3,30,2,1,1,185,21,2021
104,Olamide Zaccheaus ,ATL,WR,17,31,53,406,3,49,4,0,0,96,22,2021
105,Brandon Bolden ,NE,RB,17,41,49,405,2,28,5,0,0,416,21,2021
106,Josh Reynolds ,DET/TEN,WR,12,29,49,396,2,39,6,0,0,119,21,2021
107,Sammy Watkins ,BAL,WR,13,27,49,394,1,49,6,1,1,94,17,2021
108,Aaron Jones ,GB,RB,15,52,65,391,6,26,4,1,0,412,22,2021
109,Zach Pascal ,IND,WR,16,38,69,384,3,41,5,1,1,121,15,2021
110,Adam Humphries ,WSH,WR,17,41,62,383,0,27,4,0,0,150,23,2021
111,Tre'Quan Smith ,NO,WR,11,32,50,377,3,34,6,1,0,113,18,2021
112,James Conner ,ARI,RB,15,37,39,375,3,45,5,0,0,382,18,2021
113,Foster Moreau ,LV,TE,17,30,44,373,3,44,6,1,0,189,16,2021
114,Ty Johnson ,NYJ,RB,16,34,55,372,2,23,3,0,0,334,20,2021
115,Tyler Johnson ,TB,WR,17,36,55,360,0,31,4,0,0,137,14,2021
115,Jonathan Taylor ,IND,RB,17,40,51,360,2,76,5,1,0,406,12,2021
117,Durham Smythe ,MIA,TE,17,34,41,357,0,25,5,0,0,160,15,2021
118,Joshua Palmer ,LAC,WR,17,33,49,353,4,36,3,0,0,94,18,2021
119,Josh Jacobs ,LV,RB,15,54,64,348,0,29,2,0,0,395,14,2021
120,Austin Hooper ,CLE,TE,16,38,61,345,3,34,4,0,0,185,18,2021
121,Freddie Swain ,SEA,WR,17,25,40,343,4,68,6,0,0,206,12,2021
122,Darius Slayton ,NYG,WR,13,26,58,339,2,42,4,1,1,65,14,2021
123,Tony Pollard ,DAL,RB,15,39,46,337,0,32,2,2,0,341,15,2021
124,T.Y. Hilton ,IND,WR,10,23,37,331,3,52,4,0,0,71,15,2021
