POS,Nombre,Team,POS,GP,ATT,YDS,LNG,BIG,TD,FUM,LST,FD
1,Josh Jacobs ,LV,RB,17,340,"1,653",86,7,12,2,0,93
2,Derrick Henry ,TEN,RB,16,349,"1,538",56,10,13,4,2,65
3,Nick Chubb ,CLE,RB,17,302,"1,525",41,13,12,1,1,69
4,Saquon Barkley ,NYG,RB,16,295,"1,312",68,9,10,1,0,62
5,Miles Sanders ,PHI,RB,17,259,"1,269",40,9,11,1,1,62
6,Dalvin Cook ,MIN,RB,17,264,"1,173",81,5,8,3,3,50
7,Justin Fields ,CHI,QB,15,160,"1,143",67,10,8,9,0,65
8,Christian McCaffrey ,SF/CAR,RB,17,244,"1,139",49,9,8,1,0,59
9,Travis Etienne Jr.,JAX,RB,17,220,"1,125",62,8,5,3,3,52
10,Aaron Jones ,GB,RB,17,213,"1,121",36,6,2,3,1,54
11,Jamaal Williams ,DET,RB,17,262,"1,066",58,4,17,3,2,65
12,Kenneth Walker III,SEA,RB,15,228,"1,050",74,10,9,0,0,51
13,Rhamondre Stevenson ,NE,RB,17,210,"1,040",49,7,5,2,1,49
14,Tyler Allgeier ,ATL,RB,16,210,"1,035",44,6,3,0,0,53
15,Najee Harris ,PIT,RB,17,272,"1,034",36,1,7,2,1,45
16,Tony Pollard ,DAL,RB,16,193,"1,007",57,9,9,0,0,46
17,Dameon Pierce ,HOU,RB,13,220,939,75,7,4,4,2,54
18,Austin Ekeler ,LAC,RB,17,204,915,72,4,13,3,2,46
19,D'Onta Foreman ,CAR,RB,17,203,914,60,8,5,1,0,45
20,Alvin Kamara ,NO,RB,15,223,897,27,3,2,2,2,40
21,Raheem Mostert ,MIA,RB,16,181,891,67,6,3,1,1,44
22,Ezekiel Elliott ,DAL,RB,15,231,876,27,5,12,0,0,52
23,Jonathan Taylor ,IND,RB,11,192,861,66,5,4,3,3,39
24,Jeff Wilson Jr.,SF/MIA,RB,16,176,860,41,7,5,2,1,44
25,Isiah Pacheco ,KC,RB,17,170,830,31,3,5,3,2,37
26,Devin Singletary ,BUF,RB,16,177,819,33,5,5,3,3,42
27,Joe Mixon ,CIN,RB,14,210,814,40,4,7,0,0,47
28,David Montgomery ,CHI,RB,16,201,801,28,2,5,1,1,41
29,Brian Robinson Jr.,WSH,RB,12,205,797,24,2,2,2,0,49
30,Cam Akers ,LAR,RB,15,188,786,42,3,7,2,2,39
31,James Conner ,ARI,RB,13,183,782,23,3,7,3,1,48
32,AJ Dillon ,GB,RB,17,186,770,27,3,7,0,0,47
33,Lamar Jackson ,BAL,QB,12,112,764,79,5,3,4,1,46
34,Josh Allen ,BUF,QB,16,124,762,44,8,7,8,2,55
35,Latavius Murray ,NO/DEN,RB,13,171,760,52,5,6,1,0,44
35,Jalen Hurts ,PHI,QB,15,165,760,42,7,13,5,0,67
37,Khalil Herbert ,CHI,RB,13,129,731,63,4,4,0,0,26
38,Daniel Jones ,NYG,QB,16,120,708,25,4,7,2,1,57
39,Cordarrelle Patterson ,ATL,RB,13,144,695,40,4,8,1,1,39
40,Leonard Fournette ,TB,RB,16,189,668,23,1,3,0,0,39
41,Taysom Hill ,NO,QB,16,96,575,60,3,7,1,0,34
42,Antonio Gibson ,WSH,RB,15,149,546,20,1,3,1,0,32
43,D'Andre Swift ,DET,RB,14,99,542,50,3,5,0,0,21
44,J.K. Dobbins ,BAL,RB,8,92,520,44,4,2,0,0,26
45,James Cook ,BUF,RB,16,89,507,33,6,2,1,1,24
46,Kenyan Drake ,BAL,RB,12,109,482,40,5,4,1,0,21
47,Rachaad White ,TB,RB,17,129,481,35,2,1,1,1,27
48,Kareem Hunt ,CLE,RB,17,123,468,24,2,3,1,0,30
49,Chuba Hubbard ,CAR,RB,15,95,466,35,3,2,0,0,23
50,Breece Hall ,NYJ,RB,7,80,463,62,3,4,0,0,20
51,Damien Harris ,NE,RB,11,106,462,30,2,3,0,0,23
52,Zack Moss ,IND/BUF,RB,13,93,456,43,2,1,1,1,18
53,Marcus Mariota ,ATL,QB,13,85,438,30,4,4,5,2,30
54,Gus Edwards ,BAL,RB,9,87,433,37,3,3,1,1,30
55,James Robinson ,JAX/NYJ,RB,11,110,425,50,4,3,1,0,22
56,Kyler Murray ,ARI,QB,11,67,418,42,3,3,6,2,23
57,Michael Carter ,NYJ,RB,16,114,402,25,3,3,1,1,14
58,Samaje Perine ,CIN,RB,16,95,394,29,1,2,0,0,19
59,Jaylen Warren ,PIT,RB,16,77,379,31,3,1,1,0,20
60,Geno Smith ,SEA,QB,17,68,366,25,2,1,3,2,24
60,Caleb Huntley ,ATL,RB,12,76,366,30,2,1,1,0,18
62,Patrick Mahomes ,KC,QB,17,61,358,20,1,4,5,0,25
63,Rashaad Penny ,SEA,RB,5,57,346,41,5,2,1,0,15
64,Melvin Gordon III,DEN,RB,10,90,318,17,0,2,4,2,15
65,Eno Benjamin ,ARI/HOU/NO,RB,15,77,313,45,1,2,0,0,14
66,Clyde Edwards-Helaire ,KC,RB,10,71,302,52,2,3,0,0,15
67,Zonovan Knight ,NYJ,RB,7,85,300,48,1,1,1,0,14
68,Jerick McKinnon ,KC,RB,17,72,291,30,2,1,0,0,12
68,Trevor Lawrence ,JAX,QB,17,62,291,24,1,5,5,4,27
70,Joshua Kelley ,LAC,RB,13,69,287,22,1,2,0,0,16
71,Darrell Henderson Jr.,LAR,RB,10,70,283,23,1,3,0,0,14
71,Alexander Mattison ,MIN,RB,17,74,283,15,0,5,0,0,21
73,Elijah Mitchell ,SF,RB,5,45,279,37,1,2,0,0,15
74,Russell Wilson ,DEN,QB,15,55,277,19,0,3,2,0,21
75,Justice Hill ,BAL,RB,15,49,262,34,1,0,1,1,15
76,Jordan Mason ,SF,RB,16,43,258,55,1,1,0,0,10
77,Joe Burrow ,CIN,QB,16,75,257,23,2,5,0,0,27
78,Chase Edmonds ,MIA/DEN,RB,13,68,245,28,3,2,0,0,8
79,Jacoby Brissett ,CLE,QB,16,49,243,22,3,2,1,1,28
80,Kenneth Gainwell ,PHI,RB,17,53,240,13,0,4,0,0,17
81,Kenny Pickett ,PIT,QB,13,55,237,23,1,3,3,0,23
82,Deon Jackson ,IND,RB,16,68,236,17,0,1,1,1,13
83,Mark Ingram II,NO,RB,10,62,233,14,0,1,1,1,12
84,Deebo Samuel Sr.,SF,WR,13,42,232,51,3,3,3,2,8
85,Matt Breida ,NYG,RB,17,54,220,18,0,1,0,0,13
86,Boston Scott ,PHI,RB,15,54,217,21,1,3,0,0,12
87,Javonte Williams ,DEN,RB,4,47,204,17,0,0,1,1,9
88,JaMycal Hasty ,JAX,RB,17,46,194,61,1,2,0,0,7
89,Curtis Samuel ,WSH,WR,17,38,187,21,2,1,1,1,11
90,DeeJay Dallas ,SEA,RB,15,35,186,27,1,0,0,0,9
91,Dak Prescott ,DAL,QB,12,45,182,25,1,1,2,1,19
92,Deshaun Watson ,CLE,QB,6,36,175,21,2,1,1,0,10
93,Justin Jackson ,DET,RB,16,42,170,27,1,1,0,0,8
94,Malik Davis ,DAL,RB,12,38,161,23,2,1,0,0,6
95,Ty Johnson ,NYJ,RB,17,30,160,32,2,1,0,0,5
96,Jonathan Williams ,WSH,RB,13,37,152,23,1,0,0,0,6
97,Justin Herbert ,LAC,QB,17,54,147,23,1,0,4,0,17
98,Dontrell Hilliard ,TEN,RB,12,22,145,30,2,0,0,0,4
99,Gary Brightwell ,NYG,RB,17,31,141,25,1,1,0,0,9
100,Kyren Williams ,LAR,RB,10,35,139,17,0,0,0,0,6
101,Tyler Huntley ,BAL,QB,6,43,137,14,0,1,3,0,12
102,Dare Ogunbowale ,HOU,RB,17,42,123,11,0,1,0,0,10
102,Malik Willis ,TEN,QB,8,27,123,17,0,1,3,2,8
104,Royce Freeman ,HOU,RB,4,41,117,11,0,0,1,1,7
105,Avery Williams ,ATL,RB,17,22,109,21,1,1,0,0,6
106,Davis Mills ,HOU,QB,15,32,108,17,0,2,3,1,8
107,Sony Michel ,LAC,RB,10,36,106,12,0,0,0,0,8
107,Sam Darnold ,CAR,QB,6,26,106,26,1,2,5,1,10
109,Velus Jones Jr.,CHI,WR,12,9,103,42,1,1,1,1,5
110,Derek Carr ,LV,QB,15,24,102,20,1,0,1,0,10
110,Darrel Williams ,ARI,RB,6,21,102,30,1,1,0,0,8
110,Mike Boone ,DEN,RB,9,24,102,18,0,0,0,0,6
110,Mac Jones ,NE,QB,14,47,102,15,0,1,3,0,12
110,Zach Wilson ,NYJ,QB,9,28,102,18,0,1,0,0,7
110,Craig Reynolds ,DET,RB,9,23,102,21,1,0,0,0,4
116,Pierre Strong Jr.,NE,RB,15,10,100,44,1,1,0,0,5
117,Tyrion Davis-Price ,SF,RB,6,34,99,20,1,0,0,0,5
118,Ryan Tannehill ,TEN,QB,12,34,98,17,0,2,1,1,12
119,Kirk Cousins ,MIN,QB,17,31,97,19,0,2,2,0,11
120,Taylor Heinicke ,WSH,QB,9,28,96,15,0,1,1,0,6
121,J.D. McKissic ,WSH,RB,8,22,95,33,1,0,0,0,5
121,Amon-Ra St. Brown,DET,WR,16,9,95,58,1,0,0,0,3
123,Aaron Rodgers ,GB,QB,17,34,94,18,0,1,3,2,9
124,Hassan Haskins ,TEN,RB,15,25,93,12,0,0,0,0,5
125,Braxton Berrios ,NYJ,WR,17,9,91,25,2,2,0,0,5
126,Bryce Perkins ,LAR,QB,5,19,90,23,1,0,0,0,6
126,Benny Snell Jr.,PIT,RB,17,20,90,16,0,1,0,0,6
128,Baker Mayfield ,LAR/CAR,QB,12,31,89,17,0,1,6,1,7
129,Sam Ehlinger ,IND,QB,4,17,87,19,0,0,1,0,5
130,Carson Wentz ,WSH,QB,8,22,86,18,0,1,3,0,4
130,Jamal Agnew ,JAX,WR,15,12,86,30,1,0,0,0,6
132,Marlon Mack ,SF/DEN,RB,8,16,84,17,0,1,0,0,4
132,Jarrett Stidham ,LV,QB,5,14,84,11,0,0,1,0,7
132,Devin Duvernay ,BAL,WR,14,12,84,18,0,1,0,0,8
135,Kadarius Toney ,KC/NYG,WR,9,7,82,32,1,1,0,0,5
136,Malcolm Brown ,LAR,RB,11,18,81,23,1,1,0,0,3
137,Rex Burkhead ,HOU,RB,16,26,80,9,0,0,0,0,4
137,Brandon Powell ,LAR,WR,17,17,80,20,1,0,0,0,6
137,Christian Watson ,GB,WR,14,7,80,46,1,2,0,0,2
140,Ray-Ray McCloud III,SF,WR,17,4,78,71,1,1,0,0,1
140,Jaret Patterson ,WSH,RB,3,17,78,14,0,0,0,0,3
142,Raheem Blackshear ,CAR,RB,13,23,77,16,0,3,0,0,7
143,Jeff Driskel ,HOU,QB,7,20,75,10,0,0,0,0,4
144,Travis Homer ,SEA,RB,10,19,74,16,0,0,0,0,4
145,Jared Goff ,DET,QB,17,29,73,14,0,0,3,1,5
146,Matt Ryan ,IND,QB,12,27,70,39,1,1,4,2,9
146,Tyrod Taylor ,NYG,QB,3,5,70,32,1,0,1,0,5
146,Ronald Jones ,KC,RB,6,17,70,13,0,1,0,0,4
146,Steven Sims ,PIT,WR,12,13,70,22,1,0,0,0,5
146,Tua Tagovailoa ,MIA,QB,13,24,70,18,0,0,2,0,4
146,Zamir White ,LV,RB,14,17,70,22,1,0,0,0,4
152,Trey Lance ,SF,QB,2,16,67,13,0,0,1,0,7
153,Brandon Bolden ,LV,RB,16,17,66,12,0,0,0,0,3
154,Laviska Shenault Jr.,CAR,WR,13,9,65,41,1,1,0,0,1
155,Darrynton Evans ,CHI,RB,6,14,64,21,1,0,0,0,3
155,Desmond Ridder ,ATL,QB,4,16,64,18,0,0,2,1,4
155,Salvon Ahmed ,MIA,RB,12,12,64,11,0,1,0,0,4
158,Trace McSorley ,ARI,QB,6,15,61,14,0,0,1,1,3
159,Keaontay Ingram ,ARI,RB,12,27,60,13,0,1,0,0,4
160,Chase Claypool ,PIT/CHI,WR,15,9,59,15,0,0,0,0,3
161,Jordan Wilkins ,IND,RB,4,13,58,9,0,0,0,0,2
161,Parris Campbell ,IND,WR,17,5,58,28,2,0,0,0,2
163,Rashid Shaheed ,NO,WR,12,4,57,44,1,1,0,0,2
163,Anthony Schwartz ,CLE,WR,11,4,57,31,1,1,0,0,2
165,Corey Clement ,ARI,RB,9,15,55,12,0,1,0,0,6
165,Isaiah McKenzie ,BUF,WR,15,9,55,18,0,1,0,0,3
165,C.J. Moore ,DET,S,11,2,55,42,1,0,0,0,2
168,Andy Dalton ,NO,QB,14,30,54,14,0,0,3,0,6
168,Chris Streveler ,NYJ,QB,2,9,54,14,0,0,1,0,1
168,Equanimeous St. Brown,CHI,WR,16,6,54,41,1,0,0,0,2
168,Trestan Ebner ,CHI,RB,17,24,54,11,0,0,0,0,2
172,DJ Moore ,CAR,WR,17,10,53,11,0,0,0,0,3
172,Ke'Shawn Vaughn ,TB,RB,15,17,53,12,0,0,0,0,3
174,Cooper Kupp ,LAR,WR,9,9,52,20,1,1,0,0,4
174,Kevin Harris ,NE,RB,5,18,52,14,0,1,0,0,3
176,Phillip Lindsay ,IND,RB,3,15,49,15,0,0,0,0,1
177,CeeDee Lamb ,DAL,WR,17,10,47,14,0,0,0,0,3
177,Treylon Burks ,TEN,WR,11,4,47,20,1,0,0,0,3
179,Julio Jones ,TB,WR,10,5,45,15,0,0,0,0,4
180,Joshua Dobbs ,TEN,QB,2,8,44,11,0,0,1,0,4
180,Greg Dortch ,ARI,WR,16,7,44,20,1,0,0,0,3
182,Spencer Brown ,CAR,RB,2,9,43,7,0,0,0,0,1
183,Snoop Conner ,JAX,RB,8,12,42,8,0,1,0,0,2
