Equipo,Iniciales,Titulos,Subcampeonatos,Estado
Arizona Cardinals,ARI,0,1,Arizona
Atlanta Falcons,ATL,0,2,Georgia
Baltimore Ravens,BAL,2,0,Maryland
Buffalo Bills,BUF,0,4,Nueva York
Carolina Panthers,CAR,0,2,Carolina del Norte
Chicago Bears,CHI,1,1,Illinois
Cincinnati Bengals,CIN,0,3,Ohio
Cleveland Browns,CLE,0,0,Ohio
Dallas Cowboys,DAL,5,3,Texas
Denver Broncos,DEN,3,5,Colorado
Detroit Lions,DET,0,0,Michigan
Green Bay Packers,GB,4,1,Wisconsin
Houston Texans,HOU,0,0,Texas
Indianapolis Colts,IND,2,2,Indiana
Jacksonville Jaguars,JAX,0,0,Florida
Kansas City Chiefs,KC,4,2,Misuri
Las Vegas Raiders,LVR,3,2,Nevada
Los Angeles Chargers,LAC,0,1,California
Los Angeles Rams,LAR,2,3,California
Miami Dolphins,MIA,2,3,Florida
Minnesota Vikings,MIN,0,4,Minnesota
New England Patriots,NE,6,5,Massachusetts
New Orleans Saints,NO,1,0,Luisiana
New York Giants,NYG,4,1,Nueva York
New York Jets,NYJ,1,0,Nueva York
Philadelphia Eagles,PHI,1,3,Pensilvania
Pittsburgh Steelers,PIT,6,2,Pensilvania
San Francisco 49ers,SF,5,2,California
Seattle Seahawks,SEA,1,2,Washington
Tampa Bay Buccaneers,TB,2,0,Florida
Tennessee Titans,TEN,0,1,Tennessee
Washington Commanders,WAS,3,2,Maryland
